조사일,상품명,업태,평균판매가격
2024-12-20,청정원 맛선생 국내산해물(250g),대형마트,10650
2024-12-20,청정원 맛선생 국내산해물(250g),백화점,11180
2024-12-20,청정원 맛선생 국내산해물(250g),기업형슈퍼,11410
2024-12-20,청정원 맛선생 국내산해물(250g),편의점,7400
2024-12-20,해표 꽃소금(1kg),백화점,1848
2024-12-20,해표 꽃소금(1kg),기업형슈퍼,2800
2024-12-20,해표 꽃소금(1kg),편의점,1100
2024-12-20,"쇠고기 등심(1등급, 100g)",대형마트,10355
2024-12-20,"쇠고기 등심(1등급, 100g)",백화점,17900
2024-12-20,"쇠고기 등심(1등급, 100g)",기업형슈퍼,13517
2024-12-20,도브 센서티브 뷰티바(4개),대형마트,7900
2024-12-20,도브 센서티브 뷰티바(4개),백화점,7200
2024-12-20,도브 센서티브 뷰티바(4개),기업형슈퍼,5353
2024-12-20,청정원 고소한 마요네즈(500g),대형마트,5400
2024-12-20,청정원 고소한 마요네즈(500g),백화점,5670
2024-12-20,청정원 고소한 마요네즈(500g),기업형슈퍼,5876
2024-12-20,오뚜기밥(6개입) ,백화점,6549
2024-12-20,오뚜기밥(6개입) ,기업형슈퍼,6476
2024-12-20,오뚜기밥(6개입) ,편의점,10200
2024-12-20,코카콜라(1.8L),대형마트,2680
2024-12-20,코카콜라(1.8L),백화점,3470
2024-12-20,코카콜라(1.8L),기업형슈퍼,3980
2024-12-20,하림 참진 토종닭백숙(1.05kg),대형마트,13490
2024-12-20,하림 참진 토종닭백숙(1.05kg),기업형슈퍼,15715
2024-12-20,"쇠고기 불고기(1등급, 100g)",대형마트,3480
2024-12-20,"쇠고기 불고기(1등급, 100g)",백화점,7050
2024-12-20,"쇠고기 불고기(1등급, 100g)",기업형슈퍼,5614
2024-12-20,비타500(10개입),대형마트,8980
2024-12-20,비타500(10개입),백화점,8500
2024-12-20,비타500(10개입),기업형슈퍼,7695
2024-12-20,비타500(10개입),편의점,10000
2024-12-20,매일유업 뼈로가는 칼슘치즈(270g),대형마트,9980
2024-12-20,매일유업 뼈로가는 칼슘치즈(270g),백화점,7264
2024-12-20,매일유업 뼈로가는 칼슘치즈(270g),기업형슈퍼,6900
2024-12-20,존슨즈 베드타임 로션(500ml),대형마트,20900
2024-12-20,존슨즈 베드타임 로션(500ml),백화점,21417
2024-12-20,존슨즈 베드타임 로션(500ml),기업형슈퍼,14630
2024-12-20,서울우유 흰우유(1L),대형마트,2960
2024-12-20,서울우유 흰우유(1L),백화점,3165
2024-12-20,서울우유 흰우유(1L),기업형슈퍼,3156
2024-12-20,서울우유 흰우유(1L),편의점,3200
2024-12-20,오뚜기 참기름(320ml),대형마트,11880
2024-12-20,오뚜기 참기름(320ml),백화점,10058
2024-12-20,오뚜기 참기름(320ml),기업형슈퍼,11859
2024-12-20,오뚜기 참기름(320ml),편의점,6600
2024-12-20,오뚜기 고소한 골드 마요네즈(500g),대형마트,5950
2024-12-20,오뚜기 고소한 골드 마요네즈(500g),백화점,5795
2024-12-20,오뚜기 고소한 골드 마요네즈(500g),기업형슈퍼,6354
2024-12-20,오뚜기 고소한 골드 마요네즈(500g),편의점,6033
2024-12-20,카스 프레쉬(6캔),대형마트,9050
2024-12-20,카스 프레쉬(6캔),백화점,11400
2024-12-20,카스 프레쉬(6캔),기업형슈퍼,10430
2024-12-20,카스 프레쉬(6캔),편의점,13500
2024-12-20,삼양라면(5개입),대형마트,3680
2024-12-20,삼양라면(5개입),백화점,4255
2024-12-20,삼양라면(5개입),기업형슈퍼,3727
2024-12-20,삼양라면(5개입),편의점,4550
2024-12-20,진라면 순한맛(5개입),대형마트,4080
2024-12-20,진라면 순한맛(5개입),백화점,3745
2024-12-20,진라면 순한맛(5개입),기업형슈퍼,3580
2024-12-20,진라면 순한맛(5개입),편의점,4750
2024-12-20,옛날국수 소면(900g),대형마트,3550
2024-12-20,옛날국수 소면(900g),백화점,3690
2024-12-20,옛날국수 소면(900g),기업형슈퍼,4573
2024-12-20,옛날국수 소면(900g),편의점,4800
2024-12-20,포스트 콘푸라이트(600g),대형마트,7380
2024-12-20,포스트 콘푸라이트(600g),백화점,9267
